B	9.2	    [8.4,10]	     8.313000e-3	0.000045	    -0.0005082/+0.0004614
B	11.2	[10,12.6]	     4.811000e-3	0.000029	    -0.000294/+0.0002514
B	14.1	[12.6,15.8]	     2.535000e-3	0.000018	    -0.0001548/+0.0001332
B	17.8	[15.8,20]	     1.285000e-3	0.000011	    -0.0000786/+0.00006815
B	22.4	[20,25.1]	     6.379000e-4	0.0000065	    -0.00003904/+0.00003419
B	28.2	[25.1,31.6]	     3.219000e-4	0.0000039	    -0.0000197/+0.00001699
B	35.5	[31.6,39.8]	     1.600000e-4	0.0000024	    -0.000008633/+0.000008469
B	44.7	[39.8,50.1]	     7.846000e-5	0.00000142	    -0.000004231/+0.000004157
B	56.2	[50.1,63.1]	     3.768000e-5	0.00000085	    -0.000001926/+0.000002026
B	70.8	[63.1,79.4]	     1.859000e-5	0.00000052	    -0.0000009521/+0.000001011
B	89.1	[79.4,100]	     9.723000e-6	0.000000335	    -0.0000005047/+0.0000005291
B	112.2	[100,125.9]	     5.026000e-6	0.00000021	    -0.0000002719/+0.0000002788
B	141.3	[125.9,158.5]	 2.476000e-6	0.00000013	    -0.0000001374/+0.0000001413
B	177.8	[158.5,199.5]	 1.273000e-6	0.000000083	    -0.00000007169/+0.00000007272
B	223.9	[199.5,251.2]	 5.889000e-7	0.0000000483	-0.00000003346/+0.0000000342
B	281.8	[251.2,316.2]	 2.795000e-7	0.000000029	    -0.00000001604/+0.00000003077
B	354.8	[316.2,398.1]	 1.438000e-7    0.0000000189	-0.000000008431/+0.00000001592
B	562.3	[398.1,794.3]	 5.010000e-8	0.00000000753	-0.000000003068/+0.000000006784
B	1000	[794.3,1258.9]	 7.553000e-9	0.000000002253	-0.0000000004698/+0.000000001045
B	2204.5	[1258.9,3860.5]  1.328000e-9	0.000000000528	-0.00000000008262/+0.0000000001839
